game_title,image_url,genre,short_description,player_mode
Street Fighter 6,https://images.igdb.com/igdb/image/upload/t_cover_big/co5vst.jpg,Fighting,"The legendary fighting franchise returns! Master classic and new characters, explore dynamic single-player modes, and battle rivals worldwide in Street Fighter 6.",Both
Hunt: Showdown 1896,https://images.igdb.com/igdb/image/upload/t_cover_big/co8o7i.jpg,Shooter,"Bounty hunt in the Louisiana bayou, 1896. Track terrifying monsters with your partner, kill them for the prize, and survive the deadly hunters after your blood.",Multiplayer
Wuthering Waves,https://images.igdb.com/igdb/image/upload/t_cover_big/co92hl.jpg,Action,"Explore a vibrant, post-apocalyptic world in Wuthering Waves, a story-rich action RPG with fast-paced combat and stunning visuals. Unravel mysteries and fight for survival!",Both
Arma Reforger,https://images.igdb.com/igdb/image/upload/t_cover_big/co4rk4.jpg,Military-Simulation,Experience realistic Cold War combat in Arma Reforger. Fight for US or Soviet forces on Everon island in this stepping stone to Arma 4.,Both
Lethal Company,https://images.igdb.com/igdb/image/upload/t_cover_big/co5ive.jpg,Horror,Scavenge abandoned moons for scraps in a co-op horror game. Meet your quota or become permanent company. Beware the lurking horrors!,Both
Arena Breakout: Infinite,https://images.igdb.com/igdb/image/upload/t_cover_big/co84b9.jpg,Shooter,"Escape a brutal, immersive warzone in Arena Breakout: Infinite. Loot, shoot, and extract to survive in this hyper-realistic, tactical FPS.",Multiplayer
Zenless Zone Zero,https://images.igdb.com/igdb/image/upload/t_cover_big/co90je.jpg,Action,"Dive into New Eridu, a vibrant city resisting the otherworldly Hollows in Zenless Zone Zero! Fast-paced action and stylish characters await.",Both
ARK: Survival Ascended,https://images.igdb.com/igdb/image/upload/t_cover_big/co7ace.jpg,Survival,"Survive the dinosaur-infested island of ARK in this Unreal Engine 5 remake! Tame creatures, build bases, and uncover the mysteries of the ARK in this open-world adventure.",Both
Sid Meier's Civilization VII,https://images.igdb.com/igdb/image/upload/t_cover_big/co8po2.jpg,Strategy,"Shape humanity's destiny! Lead a civilization from humble beginnings to a global superpower in Sid Meier's Civilization VII. Build, explore, and conquer across history.",Both
SMITE 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co7m9c.jpg,MOBA,"SMITE 2 is the Unreal Engine 5-powered sequel to the popular MOBA. Experience improved graphics, refined gameplay, and all-new strategies with your favorite gods!",Multiplayer
Throne and Liberty,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j6b.jpg,MMORPG,"Explore a dynamic open world in Throne and Liberty, where strategic combat and player choices shape the outcome of epic battles for power and freedom.",Multiplayer
Enshrouded,https://images.igdb.com/igdb/image/upload/t_cover_big/co6gct.jpg,Survival,"Survive in a decaying realm, battling corrupted creatures and uncovering secrets hidden within the Shroud. Build, craft, and fight to reclaim your world in this survival action RPG.",Both
Poppy Playtime,https://images.igdb.com/igdb/image/upload/t_cover_big/co90hm.jpg,Horror,"Explore an abandoned toy factory in Poppy Playtime, solving puzzles and evading terrifying, sentient toys in this horror adventure. Uncover the dark secrets within!",Singleplayer
It Takes Two,https://images.igdb.com/igdb/image/upload/t_cover_big/co2t97.jpg,Platformer,"In this co-op adventure, a couple on the brink of divorce is magically turned into dolls. They must work together to overcome fantastical challenges and repair their broken relationship.",Multiplayer
DYNASTY WARRIORS: ORIGINS,https://images.igdb.com/igdb/image/upload/t_cover_big/co9129.jpg,Hackandslash,"Experience the epic battles of the Three Kingdoms like never before! A massive, single map and overwhelming enemy forces await in this reimagining of the DW series.",Both
NHL 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8pwh.jpg,Sports,"Experience hockey like never before in NHL 25! Revolutionized gameplay, authentic arenas, and the deepest modes yet make this the ultimate hockey experience.",Both
Balatro,https://images.igdb.com/igdb/image/upload/t_cover_big/co752b.jpg,Roguelike,Balatro is a roguelike deckbuilder where you play illegal poker hands. Combine strategic cardplay with powerful jokers to create insane combos and win big.,Singleplayer
MiSide,https://images.igdb.com/igdb/image/upload/t_cover_big/co7e6i.jpg,Simulation,"Explore a vibrant, stylized world in MiSide! Solve puzzles, collect unique items, and unravel a heartwarming story about friendship and self-discovery.",Both
Metaphor: ReFantazio,https://images.igdb.com/igdb/image/upload/t_cover_big/co8d9t.jpg,RPG,"Become the hero in a fantastical kingdom! Forge bonds, battle monsters, and unravel a royal conspiracy in this vibrant, turn-based RPG.",Singleplayer
Indiana Jones and the Great Circle,https://images.igdb.com/igdb/image/upload/t_cover_big/co7nbc.jpg,Adventure,"Uncover ancient mysteries as Indiana Jones in this globetrotting adventure. Explore lost civilizations, solve puzzles, and thwart Nazi conspiracies in a thrilling first-person journey.",Singleplayer
Hell Let Loose,https://images.igdb.com/igdb/image/upload/t_cover_big/co6sqr.jpg,Shooter,"Experience brutal WWII combat in Hell Let Loose. Coordinate with your team in 50v50 battles featuring realistic weapons, vehicles, and tactical gameplay.",Multiplayer
Super Mario 64,https://images.igdb.com/igdb/image/upload/t_cover_big/co5wv6.jpg,Platformer,"Leap into a 3D world as Mario! Explore Princess Peach's castle, collect stars, and rescue her from Bowser in this revolutionary platformer.",Singleplayer
S.T.A.L.K.E.R. 2: Heart of Chornobyl,https://images.igdb.com/igdb/image/upload/t_cover_big/co5pxn.jpg,Shooter,"Brave the radioactive Zone in this post-apocalyptic FPS. Explore, survive, and uncover the dark secrets of Chornobyl in a brutal, immersive world.",Singleplayer
STALCRAFT: X,https://images.igdb.com/igdb/image/upload/t_cover_big/co8h06.jpg,Shooter,"Brave the Chernobyl Exclusion Zone in STALCRAFT: X! Scavenge, craft, fight, and survive against mutants, anomalies, and other players in this post-apocalyptic MMO shooter.",Both
Supermarket Together,https://images.igdb.com/igdb/image/upload/t_cover_big/co8mcl.jpg,Simulation,"Team up with friends to manage a supermarket in 'Supermarket Together'! Restock shelves, serve customers, and keep the store running smoothly in this chaotic co-op adventure!",Both
Ragnarok Online 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1toh.jpg,MMORPG,"Explore a vibrant world inspired by Norse mythology in Ragnarok Online 2. Create unique characters, battle monsters, and embark on epic quests!",Multiplayer
The Outlast Trials,https://images.igdb.com/igdb/image/upload/t_cover_big/co29og.jpg,Horror,"Brave terrifying, mind-bending experiments solo or with friends in the Outlast universe. Survival demands trust and sacrifice in this co-op horror experience.",Both
Detroit: Become Human,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mzf.jpg,Adventure,"In a near-future Detroit, androids grapple with sentience and freedom. Experience their stories, make choices, and shape a world on the brink of revolution.",Singleplayer
EA Sports UFC 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co2bz5.jpg,Sports,"EA Sports UFC 2 delivers stunning visuals, realistic fighter likenesses, and a deep career mode for an authentic MMA experience.",Both
Palia,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mc3.jpg,MMO,"Palia is a cozy, free-to-play MMO where you build, farm, and explore a vibrant world alongside friends. Discover mysteries and craft a life together!",Multiplayer
